"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_1_AutoML_1_20221113_151919",0.6759462899052129,0.31688752127936226,0.9375612539839736,0.4897129572198861,0.29949870153018715,0.08969947221826811
"StackedEnsemble_BestOfFamily_1_AutoML_1_20221113_151919",0.6723321945646433,0.31805050161756,0.936740713720315,0.4905812582035211,0.30006033771599283,0.09003620627023566
"GBM_1_AutoML_1_20221113_151919",0.6656582162055945,0.3224320380283956,0.935071728765526,0.49604059942183815,0.30180116179178934,0.0910839412588738
"GBM_grid_1_AutoML_1_20221113_151919_model_3",0.6561549112221585,0.32244448997743724,0.9323767355413898,0.490671376129264,0.302053988749061,0.09123661211921784
"XGBoost_grid_1_AutoML_1_20221113_151919_model_3",0.6560670163034333,0.32499876235020503,0.932971802543984,0.4903782893265197,0.3025696176852991,0.09154837354622808
"GBM_2_AutoML_1_20221113_151919",0.6551725588634751,0.3229293597383468,0.9314479443367382,0.49227430868455374,0.30216480486448855,0.09130356929879443
"GBM_3_AutoML_1_20221113_151919",0.6549782096961853,0.32365064531427884,0.9302602397892932,0.4934792479571705,0.30218477080821354,0.09131563570841254
"XGBoost_3_AutoML_1_20221113_151919",0.6525448534180851,0.5386168056670186,0.931901480622212,0.49671387599980155,0.4235529659965783,0.17939711500449862
"XGBoost_grid_1_AutoML_1_20221113_151919_model_1",0.6519806486794499,0.32615681478174663,0.9328019960906488,0.4950128810474391,0.3031659377923102,0.09190958583749093
"XGBoost_grid_1_AutoML_1_20221113_151919_model_2",0.6487551822044909,0.3269013090569543,0.930672056215751,0.4931376801501268,0.3035870955881095,0.09216512460762394
"GBM_grid_1_AutoML_1_20221113_151919_model_2",0.6479172085940962,0.32426415256629204,0.930674912945321,0.4942733199577225,0.3028584824933859,0.09172326041819656
"GBM_5_AutoML_1_20221113_151919",0.6477277222546578,0.32441910144254066,0.9301355054767428,0.4938980597005651,0.3028489762688944,0.09171750242711736
"XGBoost_grid_1_AutoML_1_20221113_151919_model_4",0.6456240073509507,0.3266940331075582,0.9308660335389916,0.4959584259674251,0.3034531784664061,0.09208383152136454
"DeepLearning_grid_2_AutoML_1_20221113_151919_model_1",0.6395290945324509,0.3272114873802942,0.9301091398118848,0.4993910933689958,0.3042083316933712,0.09254270907166416
"DeepLearning_grid_3_AutoML_1_20221113_151919_model_1",0.6395276662504419,0.3268102144121789,0.928860870956316,0.49979703112299856,0.30399721136222624,0.09241430451601006
"GBM_4_AutoML_1_20221113_151919",0.6355353929560044,0.32822006689347166,0.9239355434482588,0.4942703050044545,0.3037245787688358,0.09224861974830673
"GBM_grid_1_AutoML_1_20221113_151919_model_4",0.6349894085386389,0.3326894597051261,0.927334494575386,0.4906585021398721,0.30571055637258476,0.09345894427763532
"XGBoost_grid_1_AutoML_1_20221113_151919_model_5",0.6346249243080004,0.33758087341248394,0.9263797862858792,0.4924109930498019,0.3076388449772251,0.09464165893892112
"DeepLearning_grid_1_AutoML_1_20221113_151919_model_1",0.6337750826188895,0.32826229145660135,0.9279566902323908,0.4995811882566053,0.30441458145947414,0.09266823740514683
"DeepLearning_grid_1_AutoML_1_20221113_151919_model_2",0.6330039159268972,0.3274849015004426,0.9269400253595994,0.4933436639803961,0.3038592563874429,0.09233044769232976
"DeepLearning_1_AutoML_1_20221113_151919",0.6313188571560935,0.3291858194031573,0.9271086224556384,0.498497044406577,0.304857189636154,0.09293790607285396
"XGBoost_2_AutoML_1_20221113_151919",0.6310583179548487,0.4805370833276383,0.9269969312058134,0.4992138724707779,0.3923323697674256,0.153924688367324
"XGBoost_1_AutoML_1_20221113_151919",0.6305154429685493,0.4901231603759041,0.9272957206636668,0.4990109035937765,0.39820317896171353,0.15856577173521444
"DRF_1_AutoML_1_20221113_151919",0.6286074666115183,0.366242139933129,0.9251826420961978,0.4900189180120222,0.31022673837922293,0.09624062920541082
"XRT_1_AutoML_1_20221113_151919",0.6230577212553049,0.3608478435742488,0.9232037107735148,0.4903991077872414,0.31041244501591836,0.09635588602076056
"GBM_grid_1_AutoML_1_20221113_151919_model_1",0.6210560701613026,0.34108214372220574,0.9242410075983256,0.4964544816471709,0.3076049640055133,0.09462081388083313
"GLM_1_AutoML_1_20221113_151919",0.5986626450913609,0.3327468623604417,0.9168936096384503,0.4994861408128005,0.30623110193218006,0.09377748779059726
